"Pais","Regimen"
"†Reino Unido","Monarqui≠a constitucional"
"†Ruanda","Republica presidencialista"
"†Rumania","Republica semipresidencialista"
"†Rusia","Republica semipresidencialista"
"†Islas Salomon","Monarqui≠a constitucional"
"†San Marino","Republica parlamentaria"
"†Samoa","Democracia parlamentaria"
"†San Cristobal y Nieves","Monarqui≠a constitucional"
"†San Vicente y las Granadinas","Monarqui≠a constitucional"
"†Santa Luci≠a","Monarqui≠a constitucional"
"†Santo Tome y Pri≠ncipe","Republica semipresidencialista"
"†Senegal","Republica semipresidencialista"
"†Serbia","Republica parlamentaria"
"†Seychelles","Republica presidencialista"
"†Sierra Leona","Republica presidencialista"
"†Singapur","Republica parlamentaria"
"†Siria","Republica semipresidencialista"
"†Somalia","Republica parlamentaria"
"†Sri Lanka","Republica semipresidencialista"
"†Suazilandia","Monarqui≠a absoluta"
"†Sudafrica","Republica parlamentaria"
"†Sudan","Republica presidencialista"
"†Sudan del Sur","Republica presidencialista"
"†Suecia","Monarqui≠a constitucional"
"†Suiza","Republica parlamentaria"
"†Surinam","Republica parlamentaria"
"†Tailandia","Monarqui≠a constitucional"
"†Tanzania","Republica presidencialista"
"†Tayikistan","Republica presidencialista"
"†Timor Oriental","Republica semipresidencialista"
"†Togo","Republica presidencialista"
"†Tonga","Monarqui≠a constitucional"
"†Trinidad y Tobago","Republica parlamentaria"
"†Tunez","Republica semipresidencialista"
"†Ciudad del Vaticano","Monarqui≠a absoluta Electiva"
"†Turkmenistan","Republica presidencialista"
"†Turqui≠a","Republica presidencialista"
"†Tuvalu","Monarqui≠a constitucional"
"†Ucrania","Republica semipresidencialista"
"†Uganda","Republica presidencialista"
"†Uruguay","Republica presidencialista"
"†Uzbekistan","Republica presidencialista"
"†Vanuatu","Republica parlamentaria"
"†Venezuela","Republica presidencialista"
"†Vietnam","Estado socialista"
"†Yemen","Gobierno provisional"
"†Yibuti","Republica presidencialista"
"†Zambia","Republica presidencialista"
"†Zimbabue","Republica presidencialista"
